"","year","exra","nao","location","code","elevation","climate.region","N","E"
"2617",2008,65.1,1.72,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2717",2009,55,0.72,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2817",2010,51.2,-5.96,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2916",2011,73,2.95,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"3016",2012,39.2,-0.25,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"3118",2013,74.9,0.9,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"3216",2014,56.8,2.97,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"3314",2015,48.5,4.09,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1102",1987,40.1,-3.01,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2102",1988,50.7,-0.13,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"363",1989,46.7,2.38,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"418",1990,25.5,3.88,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"518",1991,45.5,1.14,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"618",1992,27,2.54,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"718",1993,36.1,1.71,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"818",1994,53.6,2.86,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"918",1995,36,-1.11,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1018",1996,28.2,-1.98,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1122",1997,35.3,-0.93,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1220",1998,29.4,1.03,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1318",1999,34.3,2.25,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1418",2000,62.8,1.18,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1518",2001,42.5,-1.91,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1618",2002,53.6,1,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1718",2003,25.5,-0.09,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1818",2004,34,0.7,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1918",2005,24.2,-1.35,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2018",2006,28.6,-0.2,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2122",2007,54.9,1.35,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2220",2008,28.2,1.72,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2318",2009,48.6,0.72,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2418",2010,41.5,-5.96,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2518",2011,37.4,2.95,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2618",2012,24.3,-0.25,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2718",2013,30.8,0.9,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2818",2014,49,2.97,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"2917",2015,28.6,4.09,"Evolene.Villa","EVO",1825,"Valais",46.11,7.51
"1103",1981,32.9,-0.55,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2103",1982,45.6,2.63,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"364",1983,47,0.38,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"419",1984,29.2,2.17,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"519",1985,35.7,-3.09,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"619",1986,41,3.14,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"719",1987,53.5,-3.01,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"819",1988,46.4,-0.13,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"919",1989,40,2.38,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1019",1990,36.7,3.88,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1123",1991,38.1,1.14,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1221",1992,41,2.54,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1319",1993,35.4,1.71,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1419",1994,37.8,2.86,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1519",1995,42.8,-1.11,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1619",1996,47,-1.98,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1719",1997,36.5,-0.93,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1819",1998,32.1,1.03,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1919",1999,54,2.25,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2019",2000,28.5,1.18,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2123",2001,32.4,-1.91,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2221",2002,35.4,1,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2319",2003,38.4,-0.09,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2419",2004,56.6,0.7,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2519",2005,61.2,-1.35,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2619",2006,51.8,-0.2,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2719",2007,73.2,1.35,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2819",2008,42.3,1.72,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"2918",2009,36.2,0.72,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"3017",2010,73.2,-5.96,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"3119",2011,26.4,2.95,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"3217",2012,42.3,-0.25,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"3315",2013,37.4,0.9,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"3413",2014,32.7,2.97,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"3512",2015,31.4,4.09,"Fahy","FAH",596,"Eastern Jura",47.42,6.94
"1104",1981,38.6,-0.55,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2104",1982,43.2,2.63,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"365",1983,59.6,0.38,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"420",1984,25.8,2.17,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"520",1985,45.4,-3.09,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"620",1986,38.9,3.14,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"720",1987,107,-3.01,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"820",1988,43.2,-0.13,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"920",1989,40.3,2.38,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1020",1990,67,3.88,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1124",1991,49.9,1.14,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1222",1992,38.5,2.54,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1320",1993,48.1,1.71,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1420",1994,52.5,2.86,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1520",1995,75.1,-1.11,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1620",1996,68,-1.98,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1720",1997,46.3,-0.93,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1820",1998,36.2,1.03,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1920",1999,53.1,2.25,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2020",2000,32.8,1.18,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2124",2001,35.5,-1.91,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2222",2002,52.8,1,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2320",2003,51.4,-0.09,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2420",2004,89.3,0.7,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2520",2005,42.6,-1.35,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2620",2006,41,-0.2,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2720",2007,55.7,1.35,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2820",2008,41.4,1.72,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"2919",2009,53.5,0.72,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"3018",2010,47,-5.96,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"3120",2011,43.1,2.95,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"3218",2012,48.5,-0.25,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"3316",2013,51.8,0.9,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"3414",2014,59.1,2.97,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"3513",2015,55,4.09,"Bullet.La Fretaz","FRE",1205,"Western Jura",46.84,6.58
"1105",1981,46.8,-0.55,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2105",1982,52.8,2.63,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"366",1983,39.8,0.38,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"421",1984,52.3,2.17,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"521",1985,45.7,-3.09,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"621",1986,41.4,3.14,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"721",1987,62.5,-3.01,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"821",1988,38.3,-0.13,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"921",1989,43.8,2.38,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1021",1990,35.1,3.88,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1125",1991,87.5,1.14,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1223",1992,44.8,2.54,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1321",1993,56.7,1.71,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1421",1994,40.2,2.86,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1521",1995,62.7,-1.11,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1621",1996,53.2,-1.98,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1721",1997,48.3,-0.93,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1821",1998,62.7,1.03,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1921",1999,73.2,2.25,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2021",2000,61.6,1.18,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2125",2001,51.5,-1.91,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2223",2002,67.5,1,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2321",2003,51,-0.09,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2421",2004,41.5,0.7,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2521",2005,57.7,-1.35,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2621",2006,82.4,-0.2,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2721",2007,41.6,1.35,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2821",2008,46.9,1.72,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"2920",2009,65.4,0.72,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"3019",2010,52.1,-5.96,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"3121",2011,50.8,2.95,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"3219",2012,56,-0.25,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"3317",2013,47.2,0.9,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"3415",2014,45.4,2.97,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"3514",2015,36.1,4.09,"Glarus","GLA",517,"Eastern Alpine north slope",47.03,9.07
"1106",1989,52.5,2.38,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"2106",1990,40.5,3.88,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"367",1991,31.7,1.14,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"422",1992,63.7,2.54,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"522",1993,41.7,1.71,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"622",1994,67.3,2.86,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"722",1995,43.7,-1.11,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"822",1996,46.8,-1.98,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"922",1997,32.9,-0.93,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1022",1998,39.3,1.03,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1126",1999,79.2,2.25,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1224",2000,29.3,1.18,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1322",2001,29.8,-1.91,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1422",2002,34.6,1,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1522",2003,28.4,-0.09,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1622",2004,29.9,0.7,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1722",2005,36.1,-1.35,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1822",2006,45.3,-0.2,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1922",2007,74.3,1.35,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"2022",2008,50,1.72,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"2126",2009,64.7,0.72,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"2224",2010,38,-5.96,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"2322",2011,47.4,2.95,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"2422",2012,41,-0.25,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"2522",2013,90.2,0.9,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"2622",2014,31.6,2.97,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"2722",2015,68,4.09,"Goesgen","GOE",380,"Central plateau",47.36,7.97
"1107",1990,47,3.88,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"2107",1991,105.9,1.14,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"368",1992,44.2,2.54,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"423",1993,78.1,1.71,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"523",1994,54,2.86,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"623",1995,83.2,-1.11,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"723",1996,53.4,-1.98,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"823",1997,47.3,-0.93,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"923",1998,50,1.03,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1023",1999,101,2.25,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1127",2000,58.9,1.18,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1225",2001,42.1,-1.91,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1323",2002,62.6,1,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1423",2003,42.6,-0.09,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1523",2004,51.5,0.7,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1623",2005,58.7,-1.35,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1723",2006,43.3,-0.2,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1823",2007,71.5,1.35,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1923",2008,54.2,1.72,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"2023",2009,61.2,0.72,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"2127",2010,45,-5.96,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"2225",2011,63.8,2.95,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"2323",2012,79.3,-0.25,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"2423",2013,59.3,0.9,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"2523",2014,50.3,2.97,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"2623",2015,73.4,4.09,"Grimsel Hospiz","GRH",1980,"Western Alpine north slope",46.57,8.33
"1108",1982,85.5,2.63,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2108",1983,63.6,0.38,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"369",1984,80.1,2.17,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"424",1985,65,-3.09,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"524",1986,50.2,3.14,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"624",1987,99.3,-3.01,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"724",1988,103.2,-0.13,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"824",1989,104.8,2.38,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"924",1990,62,3.88,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1024",1991,77.3,1.14,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1128",1992,66.9,2.54,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1226",1993,96.4,1.71,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1324",1994,116.7,2.86,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1424",1995,79.5,-1.11,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1524",1996,108,-1.98,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1624",1997,89.7,-0.93,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1724",1998,62,1.03,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1824",1999,138.6,2.25,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1924",2000,127.1,1.18,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2024",2001,85,-1.91,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2128",2002,97,1,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2226",2003,83,-0.09,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2324",2004,74.3,0.7,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2424",2005,100.1,-1.35,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2524",2006,94.9,-0.2,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2624",2007,101.3,1.35,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2723",2008,75.8,1.72,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2822",2009,71.9,0.72,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"2921",2010,121.3,-5.96,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"3020",2011,119.9,2.95,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"3122",2012,96.8,-0.25,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"3220",2013,55.3,0.9,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"3318",2014,102.8,2.97,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"3416",2015,97.5,4.09,"Col du Grand St-Bernard","GSB",2472,"Alpine south side",45.87,7.17
"1109",1981,82.4,-0.55,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2109",1982,63.1,2.63,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"370",1983,59.4,0.38,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"425",1984,89.3,2.17,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"525",1985,57.5,-3.09,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"625",1986,55.3,3.14,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"725",1987,84.4,-3.01,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"825",1988,61.7,-0.13,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"925",1989,57,2.38,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1025",1990,82,3.88,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1129",1991,103.9,1.14,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1227",1992,51.5,2.54,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1325",1993,78.3,1.71,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1425",1994,39,2.86,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1525",1995,113.2,-1.11,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1625",1996,102.2,-1.98,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1725",1997,59.9,-0.93,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1825",1998,55.6,1.03,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1925",1999,72.4,2.25,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2025",2000,73.3,1.18,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2129",2001,58.3,-1.91,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2227",2002,81.7,1,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2325",2003,50.6,-0.09,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2425",2004,55.8,0.7,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2525",2005,48.2,-1.35,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2625",2006,47.2,-0.2,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2724",2007,65.8,1.35,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2823",2008,79.8,1.72,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"2922",2009,76.4,0.72,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"3021",2010,59.2,-5.96,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"3123",2011,47,2.95,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"3221",2012,56.2,-0.25,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"3319",2013,77.6,0.9,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"3417",2014,86.2,2.97,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"3515",2015,69.9,4.09,"Guetsch ob Andermatt","GUE",2283,"Central Alpine north slope",46.65,8.62
"1130",1981,31,-0.55,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"2130",1982,48.2,2.63,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"371",1983,27.3,0.38,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"426",1984,56.5,2.17,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"526",1985,42.5,-3.09,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"626",1986,46.2,3.14,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"726",1987,55.5,-3.01,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"826",1988,33.7,-0.13,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"926",1989,37.1,2.38,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1026",1990,47.4,3.88,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1131",1991,40.7,1.14,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1228",1992,33.6,2.54,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1326",1993,78.7,1.71,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1426",1994,38.2,2.86,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1526",1995,37.8,-1.11,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1626",1996,59.7,-1.98,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1726",1997,32.2,-0.93,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1826",1998,30.3,1.03,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"1926",1999,53.1,2.25,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"2026",2000,55.3,1.18,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"2131",2001,39.7,-1.91,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"2228",2002,39.9,1,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"2326",2003,35.3,-0.09,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
"2426",2004,32.6,0.7,"Guettingen","GUT",440,"North-eastern plateau",47.6,9.28
